path,bytes,modified_utc
paper_v3_2_experiments.py,35041,2026-07-30T12:59:46.125343+00:00
paper_workspace_audit.py,7338,2026-08-02T08:48:05.014217+00:00
paper_workspace_cleanup.py,13503,2026-08-02T08:51:11.097288+00:00
PAPER_WORKSPACE_INDEX.md,4654,2026-08-02T08:52:34.718233+00:00
ppo_training_scenario.py,55894,2026-07-19T12:48:27.333081+00:00
prepare_v3_2_1_real_contexts.py,11292,2026-07-30T07:01:34.765355+00:00
run_multimap_to_pilot.ps1,5181,2026-07-27T09:56:09.923048+00:00
run_parallel_training_to_pilot.ps1,8391,2026-07-27T12:01:30.732002+00:00
run_v3_2_posttraining.ps1,1481,2026-07-29T16:13:30.766679+00:00
v3_2_12_parametric_certificate_search.py,18327,2026-07-30T09:58:50.164875+00:00
v3_2_12_synthetic_tasks.py,21398,2026-07-30T10:41:55.660027+00:00
v3_2_13_calibrated_mixed_diagnostic.py,7753,2026-07-30T11:25:56.143020+00:00
v3_2_13_certificate_composition.py,30018,2026-07-30T13:07:35.013799+00:00
v3_2_13_certificate_witness.py,37594,2026-07-30T11:55:38.110831+00:00
v3_2_14_analysis_chain_worker.py,5092,2026-07-30T22:37:24.879066+00:00
v3_2_14_baseline_chain_worker.py,8402,2026-07-30T14:43:04.620693+00:00
v3_2_14_direct_threshold_probe.py,6447,2026-07-30T13:01:22.888823+00:00
v3_2_14_evaluation_smoke.py,15906,2026-07-30T14:02:25.280614+00:00
v3_2_14_final_audit_worker.py,10429,2026-07-30T14:48:10.052185+00:00
v3_2_14_inject_direct_task.py,3231,2026-07-30T13:04:46.788424+00:00
v3_2_14_learning_chain_worker.py,9498,2026-07-30T13:29:53.035601+00:00
v3_2_14_migrate_real_shards.py,5527,2026-07-30T12:10:08.610922+00:00
v3_2_14_migrate_synthetic.py,5005,2026-07-30T12:08:36.897537+00:00
v3_2_14_nominal_baseline_worker.py,13547,2026-07-30T13:32:53.359575+00:00
v3_2_14_nominal_learning_worker.py,16859,2026-07-30T13:24:57.609314+00:00
v3_2_14_post_generation_worker.py,4669,2026-07-30T12:19:27.339504+00:00
v3_2_14_publication_figures.py,115765,2026-07-31T12:55:52.456449+00:00
v3_2_14_robustness_chain_worker.py,8592,2026-07-30T14:18:43.536064+00:00
v3_2_14_robustness_worker.py,29628,2026-07-30T14:10:35.999372+00:00
v3_2_14_split_publication_figures.py,87193,2026-08-02T08:39:48.059939+00:00
v3_2_14_statistics.py,35386,2026-07-30T22:38:27.179354+00:00
v3_2_1_real_task_shards.py,19869,2026-07-30T12:59:46.127309+00:00
map_data/AP_15010_FBS_F2760_RT1.dem.tif,67493020,2018-04-20T02:29:39+00:00
paper_runs/protocol_amendment_20260724_cancel_power_sensitivity.md,2779,2026-07-24T15:47:16.509046+00:00
python_classical_algs/aco.py,5355,2026-07-20T07:11:13.015749+00:00
python_classical_algs/a_star.py,8791,2026-07-20T09:15:00.905071+00:00
python_classical_algs/common.py,25580,2026-07-20T09:23:46.758900+00:00
python_classical_algs/ga.py,6192,2026-07-20T07:11:13.015749+00:00
python_classical_algs/greedy.py,3515,2026-07-20T07:11:13.014783+00:00
python_classical_algs/milp.py,28074,2026-07-26T18:27:03.665694+00:00
python_classical_algs/pso.py,4585,2026-07-20T07:11:13.015749+00:00
python_classical_algs/sa.py,4398,2026-07-20T09:14:44.084331+00:00
python_classical_algs/__init__.py,5997,2026-07-26T18:07:14.193177+00:00
scenario_data/mountain_road_16pt.json,20970,2026-07-19T12:51:20.516411+00:00
scenario_data/mountain_road_16pt.npz,41469,2026-07-19T12:51:20.514974+00:00
tests/test_final_python_ppo_pointer.py,24339,2026-07-27T16:50:32.629166+00:00
tests/test_frozen_validation.py,13801,2026-07-20T09:23:08.871481+00:00
tests/test_manuscript_multiobjective_v1.py,3659,2026-07-31T09:13:52.835407+00:00
tests/test_manuscript_operational_band_v4.py,1246,2026-07-31T10:46:55.775734+00:00
tests/test_manuscript_preplot_closure_v5.py,2067,2026-07-31T10:56:53.924520+00:00
tests/test_manuscript_training_aware_v2.py,1353,2026-07-31T09:57:12.906130+00:00
tests/test_manuscript_training_priority_v3.py,888,2026-07-31T10:23:48.425049+00:00
tests/test_paper_classical_algs.py,16754,2026-07-26T18:27:10.762409+00:00
tests/test_paper_difficulty_experiments.py,9394,2026-07-25T17:58:40.048437+00:00
tests/test_paper_evaluation.py,25566,2026-07-22T18:20:36.728451+00:00
tests/test_paper_experiments.py,31690,2026-07-22T18:35:40.465111+00:00
tests/test_paper_learning_variants.py,23161,2026-07-28T18:50:26.586773+00:00
tests/test_paper_multimap_experiments.py,34341,2026-07-28T19:02:44.152858+00:00
tests/test_paper_protocol.py,19746,2026-07-22T18:07:11.220170+00:00
tests/test_paper_v3_2_experiments.py,2610,2026-07-28T19:08:36.867691+00:00
tests/test_ppo_resume.py,9577,2026-07-19T14:19:53.233562+00:00
tests/test_ppo_training_scenario.py,9809,2026-07-19T12:50:42.471682+00:00
tests/test_v3_2_12_parametric_certificate_search.py,3988,2026-07-30T09:41:50.164103+00:00
tests/test_v3_2_14_publication_figures.py,3391,2026-08-02T08:39:48.884922+00:00
tests/test_v3_2_14_split_publication_figures.py,2888,2026-08-02T08:39:49.686390+00:00
tests/test_v3_2_14_statistics.py,3227,2026-07-30T22:37:24.880885+00:00
tests/__pycache__/test_final_python_ppo_pointer.cpython-313.pyc,25697,2026-07-19T10:49:01.638096+00:00
tests/__pycache__/test_final_python_ppo_pointer.cpython-39.pyc,20410,2026-07-27T16:50:45.112364+00:00
tests/__pycache__/test_frozen_validation.cpython-39.pyc,10273,2026-07-20T09:23:58.576458+00:00
tests/__pycache__/test_manuscript_multiobjective_v1.cpython-313-pytest-8.4.2.pyc,19276,2026-07-31T09:07:24.854650+00:00
tests/__pycache__/test_manuscript_multiobjective_v1.cpython-39-pytest-8.4.2.pyc,9587,2026-07-31T09:14:01.005984+00:00
tests/__pycache__/test_manuscript_operational_band_v4.cpython-39-pytest-8.4.2.pyc,4992,2026-07-31T10:47:04.333588+00:00
tests/__pycache__/test_manuscript_preplot_closure_v5.cpython-39-pytest-8.4.2.pyc,7349,2026-07-31T10:57:10.508070+00:00
tests/__pycache__/test_manuscript_training_aware_v2.cpython-39-pytest-8.4.2.pyc,6347,2026-07-31T09:57:36.034839+00:00
tests/__pycache__/test_manuscript_training_priority_v3.cpython-39-pytest-8.4.2.pyc,3763,2026-07-31T10:23:57.260275+00:00
tests/__pycache__/test_paper_classical_algs.cpython-313.pyc,20088,2026-07-22T17:45:58.727803+00:00
tests/__pycache__/test_paper_classical_algs.cpython-39.pyc,13862,2026-07-27T05:58:48.089905+00:00
tests/__pycache__/test_paper_difficulty_experiments.cpython-39.pyc,8945,2026-07-26T07:37:26.500207+00:00
tests/__pycache__/test_paper_evaluation.cpython-313.pyc,10450,2026-07-20T09:05:14.537790+00:00
tests/__pycache__/test_paper_evaluation.cpython-39.pyc,19961,2026-07-26T09:38:55.114415+00:00
tests/__pycache__/test_paper_experiments.cpython-313.pyc,19860,2026-07-20T09:05:13.581960+00:00
tests/__pycache__/test_paper_experiments.cpython-39.pyc,27688,2026-07-26T09:38:55.802446+00:00
tests/__pycache__/test_paper_learning_variants.cpython-39.pyc,13335,2026-07-20T09:23:58.576458+00:00
tests/__pycache__/test_paper_multimap_experiments.cpython-39.pyc,24909,2026-07-27T18:49:08.557959+00:00
tests/__pycache__/test_paper_protocol.cpython-39.pyc,15708,2026-07-22T18:07:52.556089+00:00
tests/__pycache__/test_paper_publication_analysis.cpython-39.pyc,6970,2026-07-26T09:38:55.813287+00:00
tests/__pycache__/test_ppo_resume.cpython-39.pyc,6155,2026-07-20T07:09:37.910373+00:00
tests/__pycache__/test_ppo_training_scenario.cpython-39.pyc,8840,2026-07-19T12:50:55.340379+00:00
tests/__pycache__/test_run_algorithms_3d.cpython-39.pyc,15907,2026-07-20T09:44:49.547089+00:00
tests/__pycache__/test_v3_2_14_publication_figures.cpython-39.pyc,3768,2026-07-31T12:57:19.509498+00:00
tests/__pycache__/test_v3_2_14_statistics.cpython-313-pytest-8.4.2.pyc,10667,2026-07-31T09:07:28.895920+00:00
tests/__pycache__/test_v3_2_14_statistics.cpython-39-pytest-8.4.2.pyc,5399,2026-07-31T09:08:07.376698+00:00
tests/__pycache__/test_v3_2_14_statistics.cpython-39.pyc,2540,2026-07-30T18:16:53.896112+00:00
python_classical_algs/__pycache__/aco.cpython-39.pyc,4013,2026-07-20T07:12:28.839178+00:00
python_classical_algs/__pycache__/a_star.cpython-39.pyc,6716,2026-07-20T09:23:58.560408+00:00
python_classical_algs/__pycache__/common.cpython-39.pyc,21551,2026-07-20T09:23:58.544743+00:00
python_classical_algs/__pycache__/ga.cpython-39.pyc,6440,2026-07-20T07:12:28.846123+00:00
python_classical_algs/__pycache__/greedy.cpython-39.pyc,2742,2026-07-20T07:12:28.846123+00:00
python_classical_algs/__pycache__/milp.cpython-313.pyc,26027,2026-07-25T17:55:24.445036+00:00
python_classical_algs/__pycache__/milp.cpython-39.pyc,17349,2026-07-26T18:27:18.845433+00:00
python_classical_algs/__pycache__/pso.cpython-39.pyc,3948,2026-07-20T07:12:28.846123+00:00
python_classical_algs/__pycache__/sa.cpython-39.pyc,3774,2026-07-20T09:23:58.561810+00:00
python_classical_algs/__pycache__/__init__.cpython-313.pyc,4579,2026-07-22T17:45:58.724847+00:00
python_classical_algs/__pycache__/__init__.cpython-39.pyc,5439,2026-07-26T18:20:30.203505+00:00
paper_runs/cleanup_audit_20260802/cleanup_candidates.csv,24685,2026-08-02T08:53:21.140462+00:00
paper_runs/cleanup_audit_20260802/cleanup_candidates.json,43839,2026-08-02T08:53:21.139767+00:00
paper_runs/cleanup_audit_20260802/cleanup_manifest.csv,40529,2026-08-02T08:52:24.506034+00:00
paper_runs/cleanup_audit_20260802/cleanup_manifest.json,65081,2026-08-02T08:52:24.506034+00:00
paper_runs/cleanup_audit_20260802/critical_hashes_before.json,26917,2026-08-02T08:29:06.039046+00:00
paper_runs/cleanup_audit_20260802/inventory_after.csv,4818144,2026-08-02T08:52:26.201883+00:00
paper_runs/cleanup_audit_20260802/inventory_before.csv,8233010,2026-08-02T08:29:05.517972+00:00
paper_runs/cleanup_audit_20260802/post_cleanup_audit.json,1040,2026-08-02T08:52:57.445185+00:00
paper_runs/cleanup_audit_20260802/validation_summary.json,1423,2026-08-02T08:53:21.148762+00:00
paper_runs/cleanup_audit_20260802/workspace_size_after.json,122,2026-08-02T08:52:26.206104+00:00
paper_runs/multimap_v3_1/environment_freeze.json,1627,2026-07-27T18:54:36.998448+00:00
paper_runs/multimap_v3_2/environment_freeze.json,1729,2026-07-28T19:35:03.564594+00:00
paper_runs/protocols/difficulty_test_v2/protocol.json,4543,2026-07-25T12:00:31.950795+00:00
paper_runs/protocols/difficulty_test_v2_1/CALIBRATION_LOG.md,1483,2026-07-25T17:32:40.164495+00:00
paper_runs/protocols/difficulty_test_v2_1/protocol.json,7400,2026-07-25T17:32:26.551451+00:00
paper_runs/protocols/difficulty_test_v2_1/README.md,5227,2026-07-25T17:59:44.137767+00:00
paper_runs/protocols/frozen_test_v1/protocol.json,44742,2026-07-22T18:38:23.467891+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_1.md,941,2026-07-26T09:04:25.529316+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_10.md,1991,2026-07-27T05:57:20.062776+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_11.md,1534,2026-07-27T08:22:49.452210+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_12.md,1335,2026-07-27T09:52:08.516656+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_13.md,1984,2026-07-27T11:40:23.538495+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_14.md,835,2026-07-27T11:52:26.932883+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_15.md,785,2026-07-27T12:01:45.740756+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_16.md,1040,2026-07-27T16:53:55.293766+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_17.md,808,2026-07-27T18:51:00.665083+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_2.md,1025,2026-07-26T09:28:47.567349+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_3.md,1089,2026-07-26T11:05:02.137012+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_4.md,990,2026-07-26T12:11:23.279071+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_5.md,1136,2026-07-26T12:53:06.207832+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_6.md,868,2026-07-26T13:11:16.847368+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_7.md,832,2026-07-26T13:33:47.712604+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_8.md,766,2026-07-26T13:37:32.731494+00:00
paper_runs/protocols/multimap_generalization_v3_1/AMENDMENT_v3_1_9.md,1725,2026-07-26T18:09:52.211364+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_10.py,4543,2026-07-27T05:57:20.834438+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_11.py,6726,2026-07-27T08:22:49.452210+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_12.py,9553,2026-07-27T09:57:06.137444+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_13.py,9226,2026-07-27T11:52:26.931715+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_14.py,800,2026-07-27T11:52:26.932883+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_15.py,805,2026-07-27T12:01:45.739357+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_16.py,11195,2026-07-27T16:53:55.292764+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_17.py,10879,2026-07-27T18:51:00.663622+00:00
paper_runs/protocols/multimap_generalization_v3_1/migrate_v3_1_9.py,3341,2026-07-26T18:11:19.283439+00:00
paper_runs/protocols/multimap_generalization_v3_1/protocol.json,21366,2026-07-27T18:49:00.153302+00:00
paper_runs/protocols/multimap_generalization_v3_2/AMENDMENT_v3_2.md,658,2026-07-28T18:57:22.108532+00:00
paper_runs/protocols/multimap_generalization_v3_2/migrate_v3_2.py,12695,2026-07-28T18:51:51.005141+00:00
paper_runs/protocols/multimap_generalization_v3_2/protocol.json,32926,2026-07-28T18:57:22.107529+00:00
paper_runs/protocols/multimap_generalization_v3_2_1/protocol.json,34281,2026-07-30T04:43:21.838252+00:00
paper_runs/protocols/multimap_generalization_v3_2_10/protocol.json,43067,2026-07-30T08:46:08.586636+00:00
paper_runs/protocols/multimap_generalization_v3_2_11/protocol.json,43828,2026-07-30T08:49:47.153772+00:00
paper_runs/protocols/multimap_generalization_v3_2_12/protocol.json,45378,2026-07-30T09:37:41.290845+00:00
paper_runs/protocols/multimap_generalization_v3_2_13/protocol.json,48033,2026-07-30T11:29:08.464524+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/analysis_implementation_erratum.json,1373,2026-07-30T22:38:59.082288+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/analysis_implementation_erratum_superseded_preflight.json,1266,2026-07-30T22:37:41.469816+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/analysis_protocol.json,4900,2026-07-30T18:18:27.239303+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/manuscript_multiobjective_v1_protocol.json,3616,2026-07-31T09:14:11.497287+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/manuscript_operational_band_v4_protocol.json,1411,2026-07-31T10:47:52.902406+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/manuscript_preplot_closure_v5_protocol.json,1709,2026-07-31T10:57:24.263516+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/manuscript_training_aware_v2_protocol.json,5161,2026-07-31T09:57:48.799372+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/manuscript_training_priority_v3_protocol.json,1313,2026-07-31T10:24:09.484040+00:00
paper_runs/protocols/multimap_generalization_v3_2_14/protocol.json,50109,2026-07-30T12:07:11.677702+00:00
paper_runs/protocols/multimap_generalization_v3_2_2/protocol.json,35440,2026-07-30T06:44:04.051983+00:00
paper_runs/protocols/multimap_generalization_v3_2_3/protocol.json,36416,2026-07-30T06:48:17.320237+00:00
paper_runs/protocols/multimap_generalization_v3_2_4/protocol.json,37525,2026-07-30T07:01:54.363081+00:00
paper_runs/protocols/multimap_generalization_v3_2_5/protocol.json,38566,2026-07-30T07:11:04.370786+00:00
paper_runs/protocols/multimap_generalization_v3_2_6/protocol.json,39506,2026-07-30T07:18:25.672210+00:00
paper_runs/protocols/multimap_generalization_v3_2_7/protocol.json,40287,2026-07-30T07:25:48.916479+00:00
paper_runs/protocols/multimap_generalization_v3_2_8/protocol.json,41156,2026-07-30T07:29:49.963401+00:00
paper_runs/protocols/multimap_generalization_v3_2_9/protocol.json,42044,2026-07-30T07:35:10.428202+00:00
paper_runs/protocols/publication_analysis_v2/analysis_protocol_v2.json,7260,2026-07-25T10:08:08.487097+00:00
paper_runs/protocols/publication_analysis_v2/figure_contract.json,2926,2026-07-25T10:06:48.355668+00:00
paper_runs/protocols/publication_analysis_v2/figure_type_review.md,7342,2026-07-25T10:07:36.934863+00:00
paper_runs/protocols/publication_analysis_v4/analysis_protocol_v4.json,9177,2026-07-25T10:53:55.695166+00:00
paper_runs/protocols/publication_analysis_v4/figure_contract.json,6252,2026-07-25T10:53:17.627815+00:00
paper_runs/protocols/publication_analysis_v4/figure_type_review.md,1704,2026-07-25T10:30:13.480392+00:00
paper_runs/protocols/multimap_generalization_v3_2/__pycache__/migrate_v3_2.cpython-39.pyc,8658,2026-07-28T18:59:47.448929+00:00
paper_runs/protocols/multimap_generalization_v3_1/__pycache__/migrate_v3_1_13.cpython-39.pyc,6440,2026-07-27T11:53:26.962067+00:00
paper_runs/protocols/multimap_generalization_v3_1/__pycache__/migrate_v3_1_14.cpython-39.pyc,883,2026-07-27T11:53:26.967740+00:00
paper_runs/protocols/multimap_generalization_v3_1/__pycache__/migrate_v3_1_15.cpython-39.pyc,881,2026-07-27T12:01:53.446259+00:00
paper_runs/protocols/multimap_generalization_v3_1/__pycache__/migrate_v3_1_16.cpython-39.pyc,8273,2026-07-27T16:54:04.557369+00:00
paper_runs/protocols/multimap_generalization_v3_1/__pycache__/migrate_v3_1_17.cpython-39.pyc,8356,2026-07-27T18:51:21.836633+00:00
paper_runs/protocols/multimap_generalization_v3_1/__pycache__/migrate_v3_1_9.cpython-39.pyc,2538,2026-07-26T18:11:38.557187+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/cn_guizhou_karst.npz,10084,2026-07-30T07:02:14.530179+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/cn_hengduan.npz,12808,2026-07-30T07:02:23.027038+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/cn_qinling.npz,10626,2026-07-30T07:02:32.577809+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/cn_taihang.npz,6839,2026-07-30T07:02:40.350402+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/global_alps.npz,16136,2026-07-30T07:02:52.337550+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/global_colorado_rockies.npz,4641,2026-07-30T07:03:27.539767+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/global_peruvian_andes.npz,6255,2026-07-30T07:03:43.128198+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/global_southern_alps_nz.npz,14789,2026-07-30T07:03:51.588044+00:00
paper_runs/multimap_v3_2_4/real_corridor_assets/manifest.json,17691,2026-07-30T07:03:51.608448+00:00
paper_runs/multimap_v3_2_14/analysis/analysis_chain_status.json,476,2026-07-30T22:39:34.850613+00:00
paper_runs/multimap_v3_2_14/analysis/manuscript_multiobjective_v1.stderr.log,0,2026-07-31T09:14:21.065388+00:00
paper_runs/multimap_v3_2_14/analysis/manuscript_multiobjective_v1.stdout.log,2382,2026-07-31T09:14:30.112892+00:00
paper_runs/multimap_v3_2_14/analysis/manuscript_multiobjective_v1_independent_audit.json,1048,2026-07-31T09:15:14.200421+00:00
paper_runs/multimap_v3_2_14/analysis/manuscript_preplot_closure_v5_independent_audit.json,1506,2026-07-31T10:58:50.110925+00:00
paper_runs/multimap_v3_2_14/analysis/manuscript_training_aware_v2_independent_audit.json,973,2026-07-31T09:58:54.173353+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/evaluation_matrix.jsonl,5855868,2026-07-30T13:09:04.909916+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/evaluation_matrix_manifest.json,552,2026-07-30T13:09:04.941458+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/post_generation_status.json,616,2026-07-30T13:22:12.594558+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/robustness_implementation_manifest.json,6364,2026-07-30T14:12:00.563740+00:00
paper_runs/multimap_v3_2_14/manifests/synthetic_test/audit.json,288,2026-07-30T12:09:12.085100+00:00
paper_runs/multimap_v3_2_14/manifests/synthetic_test/generation_checkpoint.json,433,2026-07-30T12:09:12.086101+00:00
paper_runs/multimap_v3_2_14/manifests/synthetic_test/manifest.json,1291,2026-07-30T12:08:53.512734+00:00
paper_runs/multimap_v3_2_14/manifests/synthetic_test/records.jsonl,890618,2026-07-30T12:08:53.500177+00:00
paper_runs/multimap_v3_2_14/manifests/synthetic_test/reuse_audit.json,2794,2026-07-30T12:08:53.502189+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/real_tasks_parallel/audit.json,92,2026-07-30T13:09:04.544965+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/real_tasks_parallel/manifest.json,975,2026-07-30T13:09:04.527587+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/real_tasks_parallel/records.jsonl,623125,2026-07-30T13:09:04.485101+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/real_task_shards/migration_manifest.json,4548,2026-07-30T12:10:50.568714+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/baseline_chain_status.json,252,2026-07-30T22:25:40.253449+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/final_audit.json,12333,2026-08-02T08:35:31.350256+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/final_audit_status.json,12333,2026-08-02T08:35:31.351159+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/final_results.jsonl,45478119,2026-08-02T08:35:31.294450+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/learning_chain_status.json,1729,2026-07-30T14:40:41.151146+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/robustness_learning_chain_status.json,263,2026-07-30T15:23:29.017114+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/real_learning/merged_audit.json,727,2026-07-30T14:40:41.132265+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/real_learning/results.jsonl,10048220,2026-07-30T14:40:41.091239+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_learning/merged_audit.json,732,2026-07-30T14:15:09.422823+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_learning/results.jsonl,15220767,2026-07-30T14:15:09.363911+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/a_star__seed42/results.jsonl,159884,2026-07-30T20:24:04.600221+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/a_star__seed42/run_config.json,537,2026-07-30T19:46:26.284136+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/a_star__seed42/status.json,196,2026-07-30T20:24:04.603616+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/exact_pareto_dp__seed42/results.jsonl,160489,2026-07-30T20:13:41.072505+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/exact_pareto_dp__seed42/run_config.json,555,2026-07-30T19:46:26.371777+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/exact_pareto_dp__seed42/status.json,204,2026-07-30T20:13:41.079563+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/pso__seed42/results.jsonl,160011,2026-07-30T19:51:48.240411+00:00
paper_runs/multimap_v3_2_14/formal_evaluation/results/synthetic_supplementary/jobs/pso__seed42/run_config.json,532,2026-07-30T19:47:46.564053+00:00
