aggregation,grid_id,is_first,model,rank,scope,score,weight_D1,weight_D2,weight_D3,weight_D4,weight_D5
geometric,35,0.0,full,3,synthetic_all,0.5951077129562552,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.0,0.10526315789473685
arithmetic,35,0.0,full,3,synthetic_all,0.6393334089111697,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.0,0.10526315789473685
geometric,36,0.0,full,4,synthetic_all,0.6002670765908481,0.2777777777777778,0.2777777777777778,0.38888888888888884,0.0,0.05555555555555556
arithmetic,36,0.0,full,6,synthetic_all,0.6465483062788582,0.2777777777777778,0.2777777777777778,0.38888888888888884,0.0,0.05555555555555556
geometric,37,0.0,full,2,synthetic_all,0.5146301189398708,0.27777777777777773,0.33333333333333326,0.16666666666666663,0.0,0.2222222222222222
arithmetic,37,0.0,full,2,synthetic_all,0.5444754501131774,0.27777777777777773,0.33333333333333326,0.16666666666666663,0.0,0.2222222222222222
geometric,38,0.0,full,3,synthetic_all,0.5149355598297415,0.2941176470588235,0.3529411764705882,0.1764705882352941,0.0,0.1764705882352941
arithmetic,38,0.0,full,3,synthetic_all,0.5465348732790832,0.2941176470588235,0.3529411764705882,0.1764705882352941,0.0,0.1764705882352941
geometric,39,0.0,full,3,synthetic_all,0.5152793975270743,0.3125,0.37499999999999994,0.18749999999999997,0.0,0.125
arithmetic,39,0.0,full,3,synthetic_all,0.5488517243407274,0.3125,0.37499999999999994,0.18749999999999997,0.0,0.125
geometric,40,0.0,full,2,synthetic_all,0.5309093428676466,0.2631578947368421,0.3157894736842105,0.2105263157894737,0.0,0.2105263157894737
arithmetic,40,0.0,full,2,synthetic_all,0.5647651392038864,0.2631578947368421,0.3157894736842105,0.2105263157894737,0.0,0.2105263157894737
geometric,41,0.0,full,3,synthetic_all,0.5321268027605309,0.2777777777777778,0.3333333333333333,0.22222222222222224,0.0,0.16666666666666666
arithmetic,41,0.0,full,3,synthetic_all,0.5678373549211703,0.2777777777777778,0.3333333333333333,0.22222222222222224,0.0,0.16666666666666666
geometric,42,0.0,full,3,synthetic_all,0.5334907973524208,0.29411764705882354,0.35294117647058826,0.23529411764705885,0.0,0.11764705882352942
arithmetic,42,0.0,full,3,synthetic_all,0.5712710077816641,0.29411764705882354,0.35294117647058826,0.23529411764705885,0.0,0.11764705882352942
geometric,43,0.0,full,4,synthetic_all,0.5350294708996587,0.3125,0.37499999999999994,0.25,0.0,0.0625
arithmetic,43,0.0,full,6,synthetic_all,0.5751338672497195,0.3125,0.37499999999999994,0.25,0.0,0.0625
geometric,44,0.0,full,3,synthetic_all,0.5479943686897462,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.0,0.15789473684210525
arithmetic,44,0.0,full,3,synthetic_all,0.5868974700746163,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.0,0.15789473684210525
geometric,45,0.0,full,3,synthetic_all,0.5502183486645663,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.0,0.11111111111111112
arithmetic,45,0.0,full,3,synthetic_all,0.5911992597291631,0.2777777777777778,0.3333333333333333,0.2777777777777778,0.0,0.11111111111111112
geometric,46,0.0,full,4,synthetic_all,0.5527146560898342,0.2941176470588235,0.3529411764705882,0.2941176470588235,0.0,0.058823529411764705
arithmetic,46,0.0,full,6,synthetic_all,0.5960071422842447,0.2941176470588235,0.3529411764705882,0.2941176470588235,0.0,0.058823529411764705
geometric,47,0.0,full,3,synthetic_all,0.5656292023298155,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.0,0.10526315789473684
arithmetic,47,0.0,full,3,synthetic_all,0.6090298009453465,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.0,0.10526315789473684
geometric,48,0.0,full,4,synthetic_all,0.5689249811071857,0.27777777777777773,0.33333333333333326,0.33333333333333326,0.0,0.05555555555555555
arithmetic,48,0.0,full,6,synthetic_all,0.6145611645371559,0.27777777777777773,0.33333333333333326,0.33333333333333326,0.0,0.05555555555555555
geometric,49,0.0,full,4,synthetic_all,0.5838315369795329,0.2631578947368421,0.3157894736842105,0.36842105263157887,0.0,0.05263157894736842
arithmetic,49,0.0,full,6,synthetic_all,0.6311621318160765,0.2631578947368421,0.3157894736842105,0.36842105263157887,0.0,0.05263157894736842
geometric,50,0.0,full,2,synthetic_all,0.5046108823290406,0.2631578947368421,0.3684210526315789,0.15789473684210525,0.0,0.2105263157894737
arithmetic,50,0.0,full,2,synthetic_all,0.5344615312380633,0.2631578947368421,0.3684210526315789,0.15789473684210525,0.0,0.2105263157894737
geometric,51,0.0,full,3,synthetic_all,0.5043425551948352,0.2777777777777778,0.38888888888888884,0.16666666666666666,0.0,0.16666666666666666
arithmetic,51,0.0,full,3,synthetic_all,0.5358502131794682,0.2777777777777778,0.38888888888888884,0.16666666666666666,0.0,0.16666666666666666
geometric,52,0.0,full,4,synthetic_all,0.5040428290088773,0.29411764705882354,0.4117647058823529,0.17647058823529413,0.0,0.11764705882352942
arithmetic,52,0.0,full,4,synthetic_all,0.5374022694669206,0.29411764705882354,0.4117647058823529,0.17647058823529413,0.0,0.11764705882352942
geometric,53,0.0,full,5,synthetic_all,0.5037058499588931,0.3125,0.43749999999999994,0.18749999999999997,0.0,0.0625
arithmetic,53,0.0,full,6,synthetic_all,0.5391483327903045,0.3125,0.43749999999999994,0.18749999999999997,0.0,0.0625
geometric,54,0.0,full,3,synthetic_all,0.520849605701542,0.2631578947368421,0.36842105263157887,0.21052631578947367,0.0,0.15789473684210525
arithmetic,54,0.0,full,3,synthetic_all,0.5565938621087934,0.2631578947368421,0.36842105263157887,0.21052631578947367,0.0,0.15789473684210525
geometric,55,0.0,full,4,synthetic_all,0.5214894766453827,0.2777777777777778,0.38888888888888884,0.22222222222222224,0.0,0.11111111111111112
arithmetic,55,0.0,full,4,synthetic_all,0.559212117987461,0.2777777777777778,0.38888888888888884,0.22222222222222224,0.0,0.11111111111111112
geometric,56,0.0,full,5,synthetic_all,0.5222055568207911,0.2941176470588235,0.41176470588235287,0.23529411764705882,0.0,0.058823529411764705
arithmetic,56,0.0,full,6,synthetic_all,0.5621384039695011,0.2941176470588235,0.41176470588235287,0.23529411764705882,0.0,0.058823529411764705
geometric,57,0.0,full,4,synthetic_all,0.5376109023002715,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.0,0.10526315789473685
arithmetic,57,0.0,full,4,synthetic_all,0.5787261929795235,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.0,0.10526315789473685
geometric,58,0.0,full,5,synthetic_all,0.5392193687618057,0.2777777777777778,0.38888888888888884,0.2777777777777778,0.0,0.05555555555555556
arithmetic,58,0.0,full,6,synthetic_all,0.5825740227954539,0.2777777777777778,0.38888888888888884,0.2777777777777778,0.0,0.05555555555555556
geometric,59,0.0,full,5,synthetic_all,0.5549115888891157,0.2631578947368421,0.3684210526315789,0.3157894736842105,0.0,0.052631578947368425
arithmetic,59,0.0,full,6,synthetic_all,0.6008585238502535,0.2631578947368421,0.3684210526315789,0.3157894736842105,0.0,0.052631578947368425
geometric,60,0.0,full,2,synthetic_all,0.5554740246925828,0.37499999999999994,0.18749999999999997,0.18749999999999997,0.0,0.25
arithmetic,60,0.0,full,2,synthetic_all,0.5817139767166987,0.37499999999999994,0.18749999999999997,0.18749999999999997,0.0,0.25
geometric,61,0.0,full,2,synthetic_all,0.5725705784721681,0.35294117647058826,0.17647058823529413,0.23529411764705888,0.0,0.23529411764705888
arithmetic,61,0.0,full,2,synthetic_all,0.6022001864884605,0.35294117647058826,0.17647058823529413,0.23529411764705888,0.0,0.23529411764705888
geometric,62,0.0,full,3,synthetic_all,0.5767647124182973,0.375,0.1875,0.25000000000000006,0.0,0.1875
arithmetic,62,0.0,full,3,synthetic_all,0.6079961196256907,0.375,0.1875,0.25000000000000006,0.0,0.1875
geometric,63,0.0,full,2,synthetic_all,0.588208766593724,0.33333333333333337,0.16666666666666669,0.2777777777777778,0.0,0.22222222222222227
arithmetic,63,0.0,full,2,synthetic_all,0.6204101507300266,0.33333333333333337,0.16666666666666669,0.2777777777777778,0.0,0.22222222222222227
geometric,64,0.0,full,3,synthetic_all,0.5932026418036689,0.35294117647058826,0.17647058823529413,0.29411764705882354,0.0,0.17647058823529413
arithmetic,64,0.0,full,3,synthetic_all,0.6269363209910411,0.35294117647058826,0.17647058823529413,0.29411764705882354,0.0,0.17647058823529413
geometric,65,0.0,full,3,synthetic_all,0.5988714479944667,0.375,0.1875,0.3125,0.0,0.12500000000000003
arithmetic,65,0.0,full,3,synthetic_all,0.6342782625346826,0.375,0.1875,0.3125,0.0,0.12500000000000003
geometric,66,0.0,full,2,synthetic_all,0.6025625265416567,0.3157894736842105,0.15789473684210525,0.3157894736842105,0.0,0.2105263157894737
arithmetic,66,0.0,full,2,synthetic_all,0.636703276630375,0.3157894736842105,0.15789473684210525,0.3157894736842105,0.0,0.2105263157894737
geometric,67,0.0,full,3,synthetic_all,0.6082070186020434,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
arithmetic,67,0.0,full,3,synthetic_all,0.6437720555380194,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
geometric,68,0.0,full,3,synthetic_all,0.6145781628909819,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.0,0.11764705882352942
arithmetic,68,0.0,full,3,synthetic_all,0.6516724554936218,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.0,0.11764705882352942
geometric,69,0.0,full,4,synthetic_all,0.6218255096072544,0.37499999999999994,0.18749999999999997,0.37499999999999994,0.0,0.0625
arithmetic,69,0.0,full,6,synthetic_all,0.6605604054436746,0.37499999999999994,0.18749999999999997,0.37499999999999994,0.0,0.0625
geometric,70,0.0,full,3,synthetic_all,0.6219534008287574,0.3157894736842105,0.15789473684210525,0.3684210526315789,0.0,0.15789473684210525
arithmetic,70,0.0,full,3,synthetic_all,0.658835607501105,0.3157894736842105,0.15789473684210525,0.3684210526315789,0.0,0.15789473684210525
geometric,71,0.0,full,3,synthetic_all,0.6288851824139631,0.33333333333333337,0.16666666666666669,0.3888888888888889,0.0,0.11111111111111113
arithmetic,71,0.0,full,3,synthetic_all,0.6671339603460122,0.33333333333333337,0.16666666666666669,0.3888888888888889,0.0,0.11111111111111113
geometric,72,0.0,full,4,synthetic_all,0.636723931562434,0.35294117647058826,0.17647058823529413,0.4117647058823529,0.0,0.05882352941176471
arithmetic,72,0.0,full,6,synthetic_all,0.6764085899962025,0.35294117647058826,0.17647058823529413,0.4117647058823529,0.0,0.05882352941176471
geometric,73,0.0,full,2,synthetic_all,0.5409654592218084,0.3529411764705882,0.23529411764705882,0.1764705882352941,0.0,0.23529411764705882
arithmetic,73,0.0,full,3,synthetic_all,0.568331448173717,0.3529411764705882,0.23529411764705882,0.1764705882352941,0.0,0.23529411764705882
geometric,74,0.0,full,3,synthetic_all,0.5429976767568382,0.37499999999999994,0.25,0.18749999999999997,0.0,0.18749999999999997
arithmetic,74,0.0,full,3,synthetic_all,0.5720105851662756,0.37499999999999994,0.25,0.18749999999999997,0.0,0.18749999999999997
geometric,75,0.0,full,2,synthetic_all,0.5574962786931528,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
arithmetic,75,0.0,full,3,synthetic_all,0.5884230089883243,0.33333333333333337,0.22222222222222227,0.22222222222222227,0.0,0.22222222222222227
geometric,76,0.0,full,3,synthetic_all,0.5604586606444191,0.35294117647058826,0.23529411764705885,0.23529411764705885,0.0,0.17647058823529413
arithmetic,76,0.0,full,3,synthetic_all,0.5930675826762978,0.35294117647058826,0.23529411764705885,0.23529411764705885,0.0,0.17647058823529413
geometric,77,0.0,full,3,synthetic_all,0.5638101602532831,0.375,0.25000000000000006,0.25000000000000006,0.0,0.12500000000000003
arithmetic,77,0.0,full,3,synthetic_all,0.5982927280752677,0.375,0.25000000000000006,0.25000000000000006,0.0,0.12500000000000003
geometric,78,0.0,full,2,synthetic_all,0.5727147436024725,0.3157894736842105,0.2105263157894737,0.2631578947368421,0.0,0.2105263157894737
arithmetic,78,0.0,full,3,synthetic_all,0.6063996686645519,0.3157894736842105,0.2105263157894737,0.2631578947368421,0.0,0.2105263157894737
geometric,79,0.0,full,3,synthetic_all,0.5764503502884617,0.3333333333333333,0.22222222222222224,0.2777777777777778,0.0,0.16666666666666666
arithmetic,79,0.0,full,3,synthetic_all,0.6117849137963172,0.3333333333333333,0.22222222222222224,0.2777777777777778,0.0,0.16666666666666666
geometric,80,0.0,full,3,synthetic_all,0.5806542819632079,0.35294117647058826,0.23529411764705885,0.29411764705882354,0.0,0.11764705882352942
arithmetic,80,0.0,full,3,synthetic_all,0.6178037171788785,0.35294117647058826,0.23529411764705885,0.29411764705882354,0.0,0.11764705882352942
geometric,81,0.0,full,4,synthetic_all,0.5854203625758511,0.37499999999999994,0.25,0.3125,0.0,0.0625
arithmetic,81,0.0,full,6,synthetic_all,0.6245748709842596,0.37499999999999994,0.25,0.3125,0.0,0.0625
geometric,82,0.0,full,3,synthetic_all,0.5911450958172098,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.0,0.15789473684210525
arithmetic,82,0.0,full,3,synthetic_all,0.628531999535282,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.0,0.15789473684210525
geometric,83,0.0,full,3,synthetic_all,0.596048833055236,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.0,0.11111111111111112
arithmetic,83,0.0,full,3,synthetic_all,0.6351468186043101,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.0,0.11111111111111112
geometric,84,0.0,full,4,synthetic_all,0.6015776342443176,0.3529411764705882,0.23529411764705882,0.3529411764705882,0.0,0.058823529411764705
arithmetic,84,0.0,full,6,synthetic_all,0.642539851681459,0.3529411764705882,0.23529411764705882,0.3529411764705882,0.0,0.058823529411764705
geometric,85,0.0,full,3,synthetic_all,0.6101685493735024,0.3157894736842105,0.2105263157894737,0.3684210526315789,0.0,0.10526315789473685
arithmetic,85,0.0,full,3,synthetic_all,0.6506643304060122,0.3157894736842105,0.2105263157894737,0.3684210526315789,0.0,0.10526315789473685
geometric,86,0.0,full,4,synthetic_all,0.61631363604641,0.3333333333333333,0.22222222222222224,0.38888888888888884,0.0,0.05555555555555556
arithmetic,86,0.0,full,6,synthetic_all,0.6585087234123028,0.3333333333333333,0.22222222222222224,0.38888888888888884,0.0,0.05555555555555556
geometric,87,0.0,full,2,synthetic_all,0.5283873998623764,0.33333333333333326,0.27777777777777773,0.16666666666666663,0.0,0.2222222222222222
arithmetic,87,0.0,full,3,synthetic_all,0.5564358672466222,0.33333333333333326,0.27777777777777773,0.16666666666666663,0.0,0.2222222222222222
geometric,88,0.0,full,3,synthetic_all,0.5295221028285605,0.3529411764705882,0.2941176470588235,0.1764705882352941,0.0,0.1764705882352941
arithmetic,88,0.0,full,3,synthetic_all,0.5591988443615542,0.3529411764705882,0.2941176470588235,0.1764705882352941,0.0,0.1764705882352941
geometric,89,0.0,full,3,synthetic_all,0.5308015566101425,0.37499999999999994,0.3125,0.18749999999999997,0.0,0.125
arithmetic,89,0.0,full,3,synthetic_all,0.5623071936158527,0.37499999999999994,0.3125,0.18749999999999997,0.0,0.125
geometric,90,0.0,full,2,synthetic_all,0.5443454630711594,0.3157894736842105,0.2631578947368421,0.2105263157894737,0.0,0.2105263157894737
arithmetic,90,0.0,full,3,synthetic_all,0.5760960606987289,0.3157894736842105,0.2631578947368421,0.2105263157894737,0.0,0.2105263157894737
geometric,91,0.0,full,3,synthetic_all,0.5463518114464814,0.3333333333333333,0.2777777777777778,0.22222222222222224,0.0,0.16666666666666666
arithmetic,91,0.0,full,3,synthetic_all,0.579797772054615,0.3333333333333333,0.2777777777777778,0.22222222222222224,0.0,0.16666666666666666
geometric,92,0.0,full,3,synthetic_all,0.5486029532455355,0.35294117647058826,0.29411764705882354,0.23529411764705885,0.0,0.11764705882352942
arithmetic,92,0.0,full,3,synthetic_all,0.5839349788641349,0.35294117647058826,0.29411764705882354,0.23529411764705885,0.0,0.11764705882352942
geometric,93,0.0,full,4,synthetic_all,0.5511465766898197,0.37499999999999994,0.3125,0.25,0.0,0.0625
arithmetic,93,0.0,full,6,synthetic_all,0.5885893365248448,0.37499999999999994,0.3125,0.25,0.0,0.0625
geometric,94,0.0,full,3,synthetic_all,0.5618628724323882,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.0,0.15789473684210525
arithmetic,94,0.0,full,3,synthetic_all,0.5982283915694588,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.0,0.15789473684210525
geometric,95,0.0,full,3,synthetic_all,0.5649269871851578,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.0,0.11111111111111112
arithmetic,95,0.0,full,3,synthetic_all,0.603159676862608,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.0,0.11111111111111112
geometric,96,0.0,full,4,synthetic_all,0.568371364862865,0.3529411764705882,0.2941176470588235,0.2941176470588235,0.0,0.058823529411764705
arithmetic,96,0.0,full,6,synthetic_all,0.6086711133667156,0.3529411764705882,0.2941176470588235,0.2941176470588235,0.0,0.058823529411764705
geometric,97,0.0,full,3,synthetic_all,0.5799440040096479,0.3157894736842105,0.2631578947368421,0.3157894736842105,0.0,0.10526315789473684
arithmetic,97,0.0,full,3,synthetic_all,0.6203607224401889,0.3157894736842105,0.2631578947368421,0.3157894736842105,0.0,0.10526315789473684
geometric,98,0.0,full,4,synthetic_all,0.5841336921811623,0.33333333333333326,0.27777777777777773,0.33333333333333326,0.0,0.05555555555555555
arithmetic,98,0.0,full,6,synthetic_all,0.6265215816706008,0.33333333333333326,0.27777777777777773,0.33333333333333326,0.0,0.05555555555555555
geometric,99,0.0,full,4,synthetic_all,0.5986069987694648,0.3157894736842105,0.2631578947368421,0.36842105263157887,0.0,0.05263157894736842
arithmetic,99,0.0,full,6,synthetic_all,0.642493053310919,0.3157894736842105,0.2631578947368421,0.36842105263157887,0.0,0.05263157894736842
geometric,100,0.0,full,2,synthetic_all,0.5173814477034456,0.3157894736842105,0.3157894736842105,0.15789473684210525,0.0,0.2105263157894737
arithmetic,100,0.0,full,3,synthetic_all,0.5457924527329057,0.3157894736842105,0.3157894736842105,0.15789473684210525,0.0,0.2105263157894737
